URL,title,categories,news_created,scrapped_at
https://www.jpnn.com/news/pemerintah-larang-iphone-16-dijual-di-indonesia-digimap-merespons-begini,"Pemerintah Larang iPhone 16 Dijual di Indonesia, Digimap Merespons Begini",Gadget, 01 November 2024 17:15 WIB,12/15/2024 19:52:49
https://www.jpnn.com/news/ultraman-card-game-resmi-dirilis-per-starter-ada-50-kartu-karakter,"Ultraman Card Game Resmi Dirilis, Per Starter Ada 50 Kartu Karakter",Gadget, 01 November 2024 16:42 WIB,12/15/2024 19:52:49
https://www.jpnn.com/news/hadirkan-fitur-ini-galaxy-s24-fe-bikin-belajar-lebih-mudah,"Hadirkan Fitur Ini, Galaxy S24 FE Bikin Belajar Lebih Mudah",Gadget, 29 Oktober 2024 16:08 WIB,12/15/2024 19:52:50
https://www.jpnn.com/news/android-16-kemungkinan-dapat-fitur-notifikasi-baru,Android 16 Kemungkinan Dapat Fitur Notifikasi Baru,Smart, 28 Oktober 2024 16:42 WIB,12/15/2024 19:52:50
https://www.jpnn.com/news/digitalisasi-zakat-baznas-genjot-pemanfaatan-aplikasi-simba,"Digitalisasi Zakat, BAZNAS Genjot Pemanfaatan Aplikasi SIMBA",Smart, 26 Oktober 2024 10:10 WIB,12/15/2024 19:52:51
https://www.jpnn.com/news/kemenperin-sebut-iphone-16-tak-boleh-dijual-di-indonesia-tetapi,"Kemenperin Sebut iPhone 16 Tak Boleh Dijual di Indonesia, Tetapi",Gadget, 26 Oktober 2024 00:38 WIB,12/15/2024 19:52:51
https://www.jpnn.com/news/gemini-live-kini-sudah-bisa-berbahasa-indonesia,Gemini Live Kini Sudah Bisa Berbahasa Indonesia,Smart, 25 Oktober 2024 06:23 WIB,12/15/2024 19:52:51
https://www.jpnn.com/news/dorong-inovasi-smart-manufacturing-di-indonesia-ericsson-gelar-hackathon-2024,"Dorong Inovasi Smart Manufacturing di Indonesia, Ericsson Gelar Hackathon 2024",Komunikasi, 24 Oktober 2024 20:59 WIB,12/15/2024 19:52:51
https://www.jpnn.com/news/n-realyzer-solusi-modern-untuk-analisis-nitrogen-dan-protein-di-laboratorium,"N-Realyzer, Solusi Modern untuk Analisis Nitrogen dan Protein di Laboratorium",Sains, 24 Oktober 2024 19:59 WIB,12/15/2024 19:52:51
https://www.jpnn.com/news/16-tahun-melayani-industri-telekomunikasi-mitratel-siap-terbang-lebih-tinggi,"16 Tahun Melayani Industri Telekomunikasi, Mitratel Siap Terbang Lebih Tinggi",Komunikasi, 24 Oktober 2024 19:21 WIB,12/15/2024 19:52:52
https://www.jpnn.com/news/snackvideo-memperkenalkan-desa-snack-apa-itu,"SnackVideo Memperkenalkan Desa Snack, Apa Itu?",Smart, 24 Oktober 2024 06:35 WIB,12/15/2024 19:52:52
https://www.jpnn.com/news/mudahkan-pengguna-whatsapp-tingkatkan-fitur-untuk-tambah-dan-kelola-kontak,"Mudahkan Pengguna, WhatsApp Tingkatkan Fitur untuk Tambah dan Kelola Kontak",Smart, 24 Oktober 2024 00:27 WIB,12/15/2024 19:52:52
https://www.jpnn.com/news/dukung-industri-media-dan-komunikasi-telkom-hadirkan-solusi-digital-indibiz,"Dukung Industri Media dan Komunikasi, Telkom Hadirkan Solusi Digital Indibiz",Internet, 24 Oktober 2024 00:01 WIB,12/15/2024 19:52:52
https://www.jpnn.com/news/perkuat-posisi-dalam-keamanan-siber-mgs-resmi-terdaftar-di-aspi-bssn,"Perkuat Posisi dalam Keamanan Siber, MGS Resmi Terdaftar di ASPI & BSSN",Komunikasi, 23 Oktober 2024 14:31 WIB,12/15/2024 19:52:52
https://www.jpnn.com/news/meta-menguji-coba-fitur-pengenalan-wajah-baru-demi-tangkal-penipuan,Meta Menguji Coba Fitur Pengenalan Wajah Baru Demi Tangkal Penipuan,Smart, 23 Oktober 2024 06:01 WIB,12/15/2024 19:52:53
https://www.jpnn.com/news/tingkatkan-konektivitas-perkuat-ekosistem-digital-jip-perkenalkan-isp,"Tingkatkan Konektivitas & Perkuat Ekosistem Digital, JIP Perkenalkan ISP",Internet, 23 Oktober 2024 03:20 WIB,12/15/2024 19:52:53
